second,microsecond,d20 roll
56,742079,16
56,743076,14
56,743076,17
56,743076,20
56,744075,15
56,746076,15
56,746076,1
56,747086,1
56,747086,20
56,748063,17
56,748063,12
56,748063,17
56,749062,20
56,749062,16
56,750060,19
56,750060,16
56,750060,9
56,751056,8
56,751056,8
56,751056,11
56,752053,9
56,752053,11
56,752053,11
56,752053,12
56,753050,11
56,753050,2
56,753050,17
56,754047,16
56,754047,13
56,754047,14
56,754047,13
56,755044,11
56,755044,16
56,755044,10
56,756042,15
56,756042,5
56,756042,15
56,757041,6
56,757041,14
56,757041,10
56,758037,5
56,758037,13
56,758037,6
56,759034,15
56,759034,2
56,759034,7
56,760032,8
56,760032,9
56,761036,20
56,762029,3
56,763029,13
56,763029,13
56,764021,13
56,764021,6
56,764021,3
56,764021,12
56,765019,9
56,765019,9
56,765019,17
56,766016,7
56,766016,20
56,766016,11
56,767014,1
56,767014,1
56,767014,3
56,768011,20
56,768011,4
56,768011,20
56,769007,5
56,769007,8
56,769007,8
56,769007,15
56,770004,10
56,770004,18
56,770004,14
56,771002,17
56,771002,13
56,771002,10
56,771002,4
56,772000,7
56,772000,12
56,772000,10
56,772996,10
56,772996,10
56,772996,15
56,773995,15
56,773995,3
56,773995,17
56,774991,7
56,774991,8
56,774991,6
56,774991,1
56,775991,5
56,775991,2
56,775991,20
56,776986,8
56,776986,20
56,777986,8
56,777986,19
56,777986,11
56,778980,8
56,778980,11
56,778980,17
56,779979,9
56,779979,12
56,779979,9
56,780976,2
56,780976,17
56,780976,11
56,781973,7
56,781973,14
56,781973,3
56,782970,5
56,782970,8
56,782970,10
56,783967,8
56,783967,7
56,783967,18
56,783967,10
56,784966,7
56,784966,17
56,784966,14
56,785962,6
56,785962,16
56,785962,19
56,786959,12
56,786959,18
56,786959,8
56,786959,2
56,787956,9
56,787956,17
56,787956,12
56,788954,2
56,788954,10
56,788954,10
56,788954,12
56,789951,4
56,789951,1
56,789951,18
56,789951,16
56,790949,16
56,790949,4
56,791946,12
56,791946,17
56,791946,10
56,792943,3
56,792943,12
56,792943,2
56,793941,15
56,793941,8
56,794939,1
56,794939,4
56,794939,10
56,795936,14
56,795936,15
56,795936,1
56,796935,9
56,796935,13
56,796935,16
56,797931,7
56,797931,16
56,798929,7
56,798929,16
56,798929,7
56,799925,10
56,799925,8
56,799925,15
56,800924,2
56,800924,15
56,801921,20
56,801921,2
56,802920,2
56,802920,19
56,802920,14
56,803915,6
56,803915,1
56,803915,19
56,803915,8
56,804912,6
56,804912,10
56,804912,19
56,805908,2
56,805908,19
56,805908,17
56,806907,5
56,806907,16
56,806907,4
56,807903,18
56,807903,9
56,807903,11
56,807903,1
56,808901,2
56,808901,14
56,808901,4
56,809899,13
56,809899,17
56,809899,14
56,810896,15
56,810896,13
56,810896,13
56,811893,16
56,811893,18
56,811893,9
56,812890,11
56,812890,20
56,812890,6
56,812890,19
56,813888,9
56,813888,12
56,813888,19
56,814884,15
56,814884,9
56,814884,3
56,815882,8
56,815882,1
56,815882,5
56,815882,14
56,816879,7
56,816879,12
56,816879,19
56,816879,17
56,817876,4
56,817876,9
56,817876,14
56,818874,12
56,818874,5
56,818874,17
56,818874,12
56,819871,2
56,819871,16
56,819871,6
56,820869,9
56,820869,5
56,820869,8
56,820869,17
56,821866,3
56,821866,14
56,821866,17
56,822863,19
56,822863,8
56,822863,6
56,823861,9
56,823861,4
56,823861,13
56,824858,6
56,824858,6
56,824858,15
56,825855,4
56,825855,6
56,825855,8
56,825855,17
56,826853,16
56,826853,12
56,827851,20
56,827851,20
56,827851,16
56,828849,7
56,828849,9
56,828849,7
56,829846,9
56,829846,3
56,829846,6
