second,microsecond,d20 roll
2,105034,6
2,105117,15
2,105484,20
2,105631,8
2,105800,2
2,105853,7
2,105895,16
2,105942,16
2,105981,18
2,106018,16
2,106053,12
2,106094,9
2,106133,1
2,106167,3
2,106200,11
2,106448,15
2,106595,9
2,106703,1
2,106811,20
2,106890,5
2,106930,11
2,106963,7
2,106996,4
2,107028,17
2,107227,13
2,107367,8
2,107483,10
2,107631,2
2,107686,5
2,107728,19
2,107766,14
2,107803,7
2,107929,14
2,108047,11
2,108153,10
2,108260,16
2,108361,17
2,108463,14
2,108620,7
2,108671,19
2,108711,9
2,108757,2
2,108793,20
2,108828,11
2,108862,5
2,108902,6
2,108936,7
2,108970,13
2,109004,16
2,109045,14
2,109079,14
2,109111,10
2,109144,10
2,109184,16
2,109216,9
2,109248,8
2,109281,18
2,109322,11
2,109354,17
2,109394,3
2,109427,14
2,109458,3
2,109490,4
2,109529,17
2,109561,5
2,109593,3
2,109625,20
2,109658,19
2,109690,4
2,109728,13
2,109760,19
2,109791,12
2,109823,4
2,109861,20
2,109893,15
2,109924,15
2,109962,20
2,109994,18
2,110025,6
2,110803,20
2,111029,5
2,111259,3
2,111343,19
2,111385,1
2,111423,5
2,111468,11
2,111502,2
2,111536,5
2,111569,4
2,111609,18
2,111642,17
2,111675,7
2,111708,15
2,111747,11
2,111780,15
2,111812,19
2,111845,3
2,111883,7
2,111916,9
2,111948,1
2,111980,19
2,112019,4
2,112050,13
2,112082,10
2,112113,4
2,112150,7
2,112181,5
2,112213,14
2,112244,11
2,112282,9
2,112314,8
2,112345,6
2,112377,12
2,112415,11
2,112446,18
2,112477,15
2,112508,1
2,112546,20
2,112576,4
2,112608,10
2,112639,20
2,112804,6
2,112843,1
2,112875,20
2,112912,6
2,112943,19
2,112975,13
2,113006,17
2,113043,4
2,113075,2
2,113106,19
2,113136,4
2,113173,15
2,113204,16
2,113234,3
2,113265,13
2,113304,10
2,113335,19
2,113365,19
2,113396,6
2,113433,13
2,113464,1
2,113494,8
2,113525,17
2,113562,3
2,113593,1
2,113632,8
2,113670,1
2,113700,1
2,113731,17
2,113762,1
2,113798,5
2,113829,10
2,113859,11
2,113890,11
2,113927,6
2,113958,8
2,113988,10
2,114019,4
2,114056,15
2,114087,9
2,114117,19
2,114148,2
2,114185,16
2,114215,20
2,114246,6
2,114277,5
2,114314,3
2,114345,10
2,114375,14
2,114405,16
2,114442,19
2,114472,7
2,114504,16
2,114534,16
2,114572,9
2,114604,13
2,114635,19
2,114666,2
2,114697,6
2,114729,7
2,114760,16
2,114793,15
2,114832,15
2,114864,7
2,114896,14
2,114928,6
2,114967,16
2,115000,16
2,115032,14
2,115064,5
2,115103,3
2,115134,11
2,115166,3
2,115196,18
2,115233,11
2,115265,7
2,115298,2
2,115330,20
2,115368,3
2,115402,9
2,115433,1
2,115464,16
2,115502,20
2,115535,4
2,115567,14
2,115598,4
2,115640,9
2,115675,9
2,115706,11
2,115737,20
2,115776,13
2,115806,1
2,116035,6
2,116174,10
2,116498,2
2,116599,20
2,116703,14
2,116802,16
2,116900,13
2,117050,10
2,117135,3
2,117174,9
2,117208,2
2,117248,7
2,117281,4
2,117314,3
2,117346,6
2,117384,11
2,117417,1
2,117449,20
2,117482,12
2,117514,14
2,117548,1
2,117586,8
2,117618,6
2,117650,15
2,117682,1
2,117714,20
2,117746,19
2,117778,14
2,117809,4
2,117841,20
2,117883,1
2,117915,18
2,117947,5
2,117979,14
2,118018,6
2,118052,7
2,118084,1
2,118120,17
2,118162,2
2,118196,13
2,118230,18
2,118263,20
2,118303,10
2,118336,10
2,118370,14
2,118402,18
2,119022,13
2,119088,3
2,119124,11
2,119158,6
2,119197,16
2,119230,19
2,119263,17
2,119295,16
2,119333,9
2,119365,3
2,119397,15
2,119429,16
2,119467,4
2,119499,7
2,119531,1
2,119562,11
2,119797,9
2,119948,2
2,120093,17
2,120212,11
2,120320,5
2,120428,10
2,120533,14
2,120636,15
2,120740,11
2,120844,11
2,120947,15
2,121052,17
2,121154,16
2,121258,9
2,121362,18
2,121466,13
2,121570,2
2,121673,10
2,121778,7
2,121880,14
2,121983,12
2,122087,12
2,122188,20
2,122292,11
2,122455,16
2,122561,18
2,122663,10
2,122764,7
2,122866,12
2,122965,12
2,123066,20
2,123170,1
2,123270,18
2,123368,18
2,123467,16
2,123565,14
2,123662,11
2,123760,4
2,124612,12
2,124700,9
2,124741,15
2,124786,5
2,124824,12
2,124860,14
2,124899,19
2,124933,2
2,124967,6
2,125011,2
2,125045,8
2,125148,20
2,125221,19
2,125262,16
2,125428,15
2,125960,5
2,126094,19
2,126205,20
2,126311,20
2,126416,5
2,126521,14
2,126680,6
2,126753,4
2,126796,13
2,126832,3
2,126867,20
2,126910,3
2,126945,17
2,126981,9
2,127017,20
2,127058,18
2,127092,8
2,127126,3
2,127160,12
2,127201,11
2,127235,13
2,127269,18
2,127303,11
2,127343,11
2,127377,12
2,127414,7
2,127448,2
2,127489,10
2,127522,20
2,127556,10
2,127590,19
2,127631,2
2,127665,13
2,127698,20
2,127733,13
2,127783,10
2,127817,5
2,127850,17
2,127890,1
2,127924,14
2,127957,17
2,127990,13
2,128030,8
2,128064,6
2,128097,13
2,128130,4
2,128170,4
2,128203,14
2,128237,19
2,128270,6
2,128311,4
2,128344,11
2,128378,6
2,128410,5
2,128451,20
2,128484,11
2,128518,16
2,128551,19
2,128591,4
2,128624,3
2,128657,3
2,128690,14
2,128734,16
2,128768,1
2,128801,20
2,129053,1
2,129192,11
2,129345,12
2,129468,4
2,129588,13
2,129654,18
2,129690,13
2,129724,14
2,129758,2
2,129792,19
2,129826,15
2,129859,7
2,129896,17
2,129929,20
2,129964,16
2,130005,4
2,130039,12
2,130206,4
2,130280,5
2,130320,15
2,130376,18
2,130416,13
2,130459,15
2,130515,15
2,130660,2
2,130966,19
2,131000,14
2,131040,5
2,131074,8
2,131124,17
2,131160,19
2,131198,3
2,131232,16
